review_text,cleaned_text,tokens,stemmed_tokens,final_text
"Es lemonnya enak.
Nyes bgt diminum pas siang2.
Cepet juga pelayanannya..",es lemonnya enak nyes bgt diminum pas siang cepet juga pelayanannya,"['es', 'lemonnya', 'enak', 'nyes', 'bgt', 'diminum', 'pas', 'siang', 'cepet', 'pelayanannya']","['es', 'lemon', 'enak', 'nyes', 'bgt', 'minum', 'pas', 'siang', 'cepet', 'layan']",es lemon enak nyes bgt minum pas siang cepet layan
"Gak pernah absen ngopi di couvee, luvv💚",gak pernah absen ngopi di couvee luvv,"['gak', 'absen', 'ngopi', 'couvee', 'luvv']","['gak', 'absen', 'ngopi', 'couvee', 'luvv']",gak absen ngopi couvee luvv
"Setiap kesini selalu puas dengan segala aspeknya mulai dari rasa dan pelayanannya, pokoknya recommended🥰🥰🥰",setiap kesini selalu puas dengan segala aspeknya mulai dari rasa dan pelayanannya pokoknya recommended,"['kesini', 'puas', 'aspeknya', 'pelayanannya', 'pokoknya', 'recommended']","['kesini', 'puas', 'aspek', 'layan', 'pokok', 'recommended']",kesini puas aspek layan pokok recommended
"ku akuin untuk t4nya nyaman, sayangnya cafe  nya ga ada  ""TEMPAT UNTUK SHOLAT"" nya, sayang disayangkan kalau mau sholat harus keluar dulu",ku akuin untuk tnya nyaman sayangnya cafe nya ga ada tempat untuk sholat nya sayang disayangkan kalau mau sholat harus keluar dulu,"['ku', 'akuin', 'tnya', 'nyaman', 'sayangnya', 'cafe', 'nya', 'ga', 'sholat', 'nya', 'sayang', 'disayangkan', 'sholat']","['ku', 'akuin', 'tnya', 'nyaman', 'sayang', 'cafe', 'nya', 'ga', 'sholat', 'nya', 'sayang', 'sayang', 'sholat']",ku akuin tnya nyaman sayang cafe nya ga sholat nya sayang sayang sholat
"Sepintas kedai kopi ini terlihat biasa saja. Seperti kedai kopi kebanyakan yang menawarkan bentuk bangunan dengan dinding kaca. Sehingga sangat jelas terlihat dari luar. Dari luar jelas terlihat jika pengunjung sore itu sedang ramai. Ternyata memang selalu ramai ujar seorang teman. Java nya enak, seperti sanger di Banda Aceh. Cocok buat duduk santai atau bekerja. Wajar saja ramai, pelayanan ramah dan cepat, harga terjangkau, tempatnya bersih.",sepintas kedai kopi ini terlihat biasa saja seperti kedai kopi kebanyakan yang menawarkan bentuk bangunan dengan dinding kaca sehingga sangat jelas terlihat dari luar dari luar jelas terlihat jika pengunjung sore itu sedang ramai ternyata memang selalu ramai ujar seorang teman java nya enak seperti sanger di banda aceh cocok buat duduk santai atau bekerja wajar saja ramai pelayanan ramah dan cepat harga terjangkau tempatnya bersih,"['sepintas', 'kedai', 'kopi', 'kedai', 'kopi', 'kebanyakan', 'menawarkan', 'bentuk', 'bangunan', 'dinding', 'kaca', 'pengunjung', 'sore', 'ramai', 'ramai', 'teman', 'java', 'nya', 'enak', 'sanger', 'banda', 'aceh', 'cocok', 'duduk', 'santai', 'wajar', 'ramai', 'pelayanan', 'ramah', 'cepat', 'harga', 'terjangkau', 'tempatnya', 'bersih']","['pintas', 'kedai', 'kopi', 'kedai', 'kopi', 'banyak', 'tawar', 'bentuk', 'bangun', 'dinding', 'kaca', 'unjung', 'sore', 'ramai', 'ramai', 'teman', 'java', 'nya', 'enak', 'sanger', 'banda', 'aceh', 'cocok', 'duduk', 'santai', 'wajar', 'ramai', 'layan', 'ramah', 'cepat', 'harga', 'jangkau', 'tempat', 'bersih']",pintas kedai kopi kedai kopi banyak tawar bentuk bangun dinding kaca unjung sore ramai ramai teman java nya enak sanger banda aceh cocok duduk santai wajar ramai layan ramah cepat harga jangkau tempat bersih
"Meja dan kursinya udah nyaman banget buat nugas tapi sayang  ngga nyediain makanan berat huhu. Dan kebetulan saya kedapetan tempat yg pas-pasan sama AC jadi dingin banget. Tadi nya mau nugas lama, tapi jadi ga nyaman karena laper dan kedinginan hehe.",meja dan kursinya udah nyaman banget buat nugas tapi sayang ngga nyediain makanan berat huhu dan kebetulan saya kedapetan tempat yg paspasan sama ac jadi dingin banget tadi nya mau nugas lama tapi jadi ga nyaman karena laper dan kedinginan hehe,"['meja', 'kursinya', 'udah', 'nyaman', 'banget', 'nugas', 'sayang', 'ngga', 'nyediain', 'makanan', 'berat', 'huhu', 'kedapetan', 'yg', 'paspasan', 'ac', 'dingin', 'banget', 'nya', 'nugas', 'ga', 'nyaman', 'laper', 'kedinginan', 'hehe']","['meja', 'kursi', 'udah', 'nyaman', 'banget', 'nugas', 'sayang', 'ngga', 'nyediain', 'makan', 'berat', 'huhu', 'kedapetan', 'yg', 'paspasan', 'ac', 'dingin', 'banget', 'nya', 'nugas', 'ga', 'nyaman', 'laper', 'dingin', 'hehe']",meja kursi udah nyaman banget nugas sayang ngga nyediain makan berat huhu kedapetan yg paspasan ac dingin banget nya nugas ga nyaman laper dingin hehe
"Kayaknya selama di Jogja, ini kopi yang paling cocok di lidah. Aku pesen Melaka dan Salted Caramel Latte. Untuk ukuran large, harganya juga nggak terlalu mahal. Menurutku antrian ojek online sama customer harusnya dibedain ya. Prokes jalan, masuk langsung diukur suhu. Tapi parkir mobil di sini agak bikin bingung ya",kayaknya selama di jogja ini kopi yang paling cocok di lidah aku pesen melaka dan salted caramel latte untuk ukuran large harganya juga nggak terlalu mahal menurutku antrian ojek online sama customer harusnya dibedain ya prokes jalan masuk langsung diukur suhu tapi parkir mobil di sini agak bikin bingung ya,"['kayaknya', 'jogja', 'kopi', 'cocok', 'lidah', 'pesen', 'melaka', 'salted', 'caramel', 'latte', 'ukuran', 'large', 'harganya', 'nggak', 'mahal', 'menurutku', 'antrian', 'ojek', 'online', 'customer', 'dibedain', 'ya', 'prokes', 'jalan', 'masuk', 'langsung', 'diukur', 'suhu', 'parkir', 'mobil', 'bikin', 'bingung', 'ya']","['kayak', 'jogja', 'kopi', 'cocok', 'lidah', 'sen', 'melaka', 'salted', 'caramel', 'latte', 'ukur', 'large', 'harga', 'nggak', 'mahal', 'turut', 'antri', 'ojek', 'online', 'customer', 'dibedain', 'ya', 'prokes', 'jalan', 'masuk', 'langsung', 'ukur', 'suhu', 'parkir', 'mobil', 'bikin', 'bingung', 'ya']",kayak jogja kopi cocok lidah sen melaka salted caramel latte ukur large harga nggak mahal turut antri ojek online customer dibedain ya prokes jalan masuk langsung ukur suhu parkir mobil bikin bingung ya
"Tidak menjual cemilan.
Interior bagus, wifi oke. Harga start from 22k. Parkiran motor luas",tidak menjual cemilan interior bagus wifi oke harga start from k parkiran motor luas,"['menjual', 'cemilan', 'interior', 'bagus', 'wifi', 'oke', 'harga', 'start', 'k', 'parkiran', 'motor', 'luas']","['jual', 'cemilan', 'interior', 'bagus', 'wifi', 'oke', 'harga', 'start', 'k', 'parkir', 'motor', 'luas']",jual cemilan interior bagus wifi oke harga start k parkir motor luas
Love banget sama everydaylatte nya couvee seturan konsisten banget rasanya😭😭😭😭😭😭,love banget sama everydaylatte nya couvee seturan konsisten banget rasanya,"['love', 'banget', 'everydaylatte', 'nya', 'couvee', 'seturan', 'konsisten', 'banget']","['love', 'banget', 'everydaylatte', 'nya', 'couvee', 'tur', 'konsisten', 'banget']",love banget everydaylatte nya couvee tur konsisten banget
"Aku suka kopinya enak, balance antara pait kopi dan gula nya. Tempat nyaman dan harga standar cafe sih.",aku suka kopinya enak balance antara pait kopi dan gula nya tempat nyaman dan harga standar cafe sih,"['suka', 'kopinya', 'enak', 'balance', 'pait', 'kopi', 'gula', 'nya', 'nyaman', 'harga', 'standar', 'cafe', 'sih']","['suka', 'kopi', 'enak', 'balance', 'pait', 'kopi', 'gula', 'nya', 'nyaman', 'harga', 'standar', 'cafe', 'sih']",suka kopi enak balance pait kopi gula nya nyaman harga standar cafe sih
